,Fiscal Year,Region,Type,Amount
9,2020-2021,Region - Capital,"Region Total, Recycled, Tons",688.1
10,2020-2021,Region - Downstate,"Region Total, Recycled, Tons",44.22
11,2020-2021,Region - Upstate,"Region Total, Recycled, Tons",80.78
12,2020-2021,Region - Capital,"Region Total, Waste, Tons",687.56
13,2020-2021,Region - Downstate,"Region Total, Waste, Tons",113.41
14,2020-2021,Region - Upstate,"Region Total, Waste, Tons",116.54
28,2019-2020,Region - Capital,"Region Total, Recycled, Tons",915.27
29,2019-2020,Region - Downstate,"Region Total, Recycled, Tons",150.85
30,2019-2020,Region - Upstate,"Region Total, Recycled, Tons",115.93
31,2019-2020,Region - Capital,"Region Total, Waste, Tons",1701.69
32,2019-2020,Region - Downstate,"Region Total, Waste, Tons",135.02
33,2019-2020,Region - Upstate,"Region Total, Waste, Tons",136.65
48,2018-2019,Region - Capital,"Region Total, Recycled, Tons",1355.65
49,2018-2019,Region - Downstate,"Region Total, Recycled, Tons",196.04
50,2018-2019,Region - Upstate,"Region Total, Recycled, Tons",94.96
51,2018-2019,Region - Capital,"Region Total, Waste, Tons",1278.0
52,2018-2019,Region - Downstate,"Region Total, Waste, Tons",139.13
53,2018-2019,Region - Upstate,"Region Total, Waste, Tons",132.67
68,2017-2018,Region - Capital,"Region Total, Recycled, Tons",1235.42
69,2017-2018,Region - Downstate,"Region Total, Recycled, Tons",106.23
70,2017-2018,Region - Upstate,"Region Total, Recycled, Tons",86.51
71,2017-2018,Region - Capital,"Region Total, Waste, Tons",1433.67
72,2017-2018,Region - Downstate,"Region Total, Waste, Tons",115.08
73,2017-2018,Region - Upstate,"Region Total, Waste, Tons",118.13
88,2016-2017,Region - Capital,"Region Total, Recycled, Tons",2102.68
89,2016-2017,Region - Downstate,"Region Total, Recycled, Tons",165.49
90,2016-2017,Region - Upstate,"Region Total, Recycled, Tons",67.6
91,2016-2017,Region - Capital,"Region Total, Waste, Tons",1410.55
92,2016-2017,Region - Downstate,"Region Total, Waste, Tons",171.49
93,2016-2017,Region - Upstate,"Region Total, Waste, Tons",122.07
109,2015-2016,Region - Capital,"Region Total, Recycled, Tons",2050.52
110,2015-2016,Region - Downstate,"Region Total, Recycled, Tons",351.22
111,2015-2016,Region - Upstate,"Region Total, Recycled, Tons",538.23
112,2015-2016,Region - Capital,"Region Total, Waste, Tons",274.32
113,2015-2016,Region - Downstate,"Region Total, Waste, Tons",219.24
114,2015-2016,Region - Upstate,"Region Total, Waste, Tons",1679.87
130,2014-2015,Region - Capital,"Region Total, Recycled, Tons",2895.24
131,2014-2015,Region - Downstate,"Region Total, Recycled, Tons",308.11
132,2014-2015,Region - Upstate,"Region Total, Recycled, Tons",98.65
133,2014-2015,Region - Capital,"Region Total, Waste, Tons",2057.24
134,2014-2015,Region - Downstate,"Region Total, Waste, Tons",218.08
135,2014-2015,Region - Upstate,"Region Total, Waste, Tons",114.68
153,2013-2014,Region - Capital,"Region Total, Recycled, Tons",2538.79
154,2013-2014,Region - Downstate,"Region Total, Recycled, Tons",360.92
155,2013-2014,Region - Upstate,"Region Total, Recycled, Tons",105.29
156,2013-2014,Region - Capital,"Region Total, Waste, Tons",2393.13
157,2013-2014,Region - Downstate,"Region Total, Waste, Tons",237.45
158,2013-2014,Region - Upstate,"Region Total, Waste, Tons",113.42
177,2012-2013,Region - Capital,"Region Total, Recycled, Tons",3252.0
178,2012-2013,Region - Downstate,"Region Total, Recycled, Tons",390.33
179,2012-2013,Region - Upstate,"Region Total, Recycled, Tons",113.58
180,2012-2013,Region - Capital,"Region Total, Waste, Tons",2113.25
181,2012-2013,Region - Downstate,"Region Total, Waste, Tons",202.63
182,2012-2013,Region - Upstate,"Region Total, Waste, Tons",128.16
200,2011-2012,Region - Capital,"Region Total, Recycled, Tons",2877.12
201,2011-2012,Region - Downstate,"Region Total, Recycled, Tons",368.07
202,2011-2012,Region - Upstate,"Region Total, Recycled, Tons",143.38
203,2011-2012,Region - Capital,"Region Total, Waste, Tons",2113.25
204,2011-2012,Region - Downstate,"Region Total, Waste, Tons",181.76
205,2011-2012,Region - Upstate,"Region Total, Waste, Tons",115.23
222,2010-2011,Region - Capital,"Region Total, Recycled, Tons",1961.56
223,2010-2011,Region - Downstate,"Region Total, Recycled, Tons",326.15
224,2010-2011,Region - Upstate,"Region Total, Recycled, Tons",157.4
225,2010-2011,Region - Capital,"Region Total, Waste, Tons",2429.16
226,2010-2011,Region - Downstate,"Region Total, Waste, Tons",197.58
227,2010-2011,Region - Upstate,"Region Total, Waste, Tons",126.83
244,2009-2010,Region - Capital,"Region Total, Recycled, Tons",2876.35
245,2009-2010,Region - Downstate,"Region Total, Recycled, Tons",263.09
246,2009-2010,Region - Upstate,"Region Total, Recycled, Tons",155.92
247,2009-2010,Region - Capital,"Region Total, Waste, Tons",2679.54
248,2009-2010,Region - Downstate,"Region Total, Waste, Tons",226.39
249,2009-2010,Region - Upstate,"Region Total, Waste, Tons",163.33
267,2008-2009,Region - Capital,"Region Total, Recycled, Tons",4188.88
268,2008-2009,Region - Downstate,"Region Total, Recycled, Tons",289.4
269,2008-2009,Region - Upstate,"Region Total, Recycled, Tons",200.41
270,2008-2009,Region - Capital,"Region Total, Waste, Tons",3004.78
271,2008-2009,Region - Downstate,"Region Total, Waste, Tons",290.42
272,2008-2009,Region - Upstate,"Region Total, Waste, Tons",220.68
