Region,Region - Capital,Region - Downstate,Region - Upstate,Region - Capital,Region - Downstate,Region - Upstate
Type,"Region Total, Recycled, Tons","Region Total, Recycled, Tons","Region Total, Recycled, Tons","Region Total, Waste, Tons","Region Total, Waste, Tons","Region Total, Waste, Tons"
Fiscal Year,,,,,,
2008-2009,4188.88,289.4,200.41,3004.78,290.42,220.68
2009-2010,2876.35,263.09,155.92,2679.54,226.39,163.33
2010-2011,1961.56,326.15,157.4,2429.16,197.58,126.83
2011-2012,2877.12,368.07,143.38,2113.25,181.76,115.23
2012-2013,3252.0,390.33,113.58,2113.25,202.63,128.16
2013-2014,2538.79,360.92,105.29,2393.13,237.45,113.42
2014-2015,2895.24,308.11,98.65,2057.24,218.08,114.68
2015-2016,2050.52,351.22,538.23,274.32,219.24,1679.87
2016-2017,2102.68,165.49,67.6,1410.55,171.49,122.07
2017-2018,1235.42,106.23,86.51,1433.67,115.08,118.13
2018-2019,1355.65,196.04,94.96,1278.0,139.13,132.67
2019-2020,915.27,150.85,115.93,1701.69,135.02,136.65
2020-2021,688.1,44.22,80.78,687.56,113.41,116.54
