,Fiscal Year,Region,Type,Amount
0,2020-2021,Statewide,"Batteries Recycled, Tons",2.58
1,2020-2021,Statewide,"Comingled Materials Recycled, Tons",21.19
2,2020-2021,Statewide,"Corrugated Cardboard Recycled, Tons",212.93
3,2020-2021,Statewide,"Electronic Equipment Recycled, Tons",7.46
4,2020-2021,Statewide,"Ferrous/ Non-Ferrous Scrap Metals Recycled, Tons",68.02
5,2020-2021,Statewide,"Fluorescent Bulbs and Ballasts Recycled, Tons",0.25
6,2020-2021,Statewide,"Mixed Office Paper Recycled, Tons",361.81
7,2020-2021,Statewide,"Overall Waste Stream Reduction, Percentage",53.51
8,2020-2021,Statewide,Percentage of Waste Stream Recycled,46.98
15,2020-2021,Statewide,"Single Stream Recyclables Recycled, Tons",91.25
16,2020-2021,Statewide,Total Tonnage of Recycled Material,813.1
17,2020-2021,Statewide,Total Tonnage of Waste Material,917.51
18,2020-2021,Statewide,"Wood Recycled, Tons",47.59
19,2019-2020,Statewide,"Comingled Materials Recycled, Tons",48.15
20,2019-2020,Statewide,"Concrete, Stone and Asphalt Recycled, Tons",12.56
21,2019-2020,Statewide,"Corrugated Cardboard Recycled, Tons",275.94
22,2019-2020,Statewide,"Electronic Equipment Recycled, Tons",4.72
23,2019-2020,Statewide,"Ferrous/ Non-Ferrous Scrap Metals Recycled, Tons",48.1
24,2019-2020,Statewide,"Mixed Office Paper Recycled, Tons",494.04
25,2019-2020,Statewide,"Overall Waste Stream Reduction, Percentage",-27.33
26,2019-2020,Statewide,Percentage of Waste Stream Recycled,37.42
27,2019-2020,Statewide,"Plastics, Recycled, Tons",0.2
34,2019-2020,Statewide,"Single Stream Recyclables Recycled, Tons",179.05
35,2019-2020,Statewide,Total Tonnage of Recycled Material,1180.48
36,2019-2020,Statewide,Total Tonnage of Waste Material,1973.36
37,2019-2020,Statewide,"Wood Recycled, Tons",119.29
38,2018-2019,Statewide,"Batteries Recycled, Tons",28.44
39,2018-2019,Statewide,"Comingled Materials Recycled, Tons",47.34
40,2018-2019,Statewide,"Concrete, Stone and Asphalt Recycled, Tons",3.49
41,2018-2019,Statewide,"Corrugated Cardboard Recycled, Tons",280.83
42,2018-2019,Statewide,"Electronic Equipment Recycled, Tons",4.1
43,2018-2019,Statewide,"Ferrous/ Non-Ferrous Scrap Metals Recycled, Tons",378.81
44,2018-2019,Statewide,"Fluorescent Bulbs and Ballasts Recycled, Tons",0.12
45,2018-2019,Statewide,"Mixed Office Paper Recycled, Tons",763.94
46,2018-2019,Statewide,"Overall Waste Stream Reduction, Percentage",7.02
47,2018-2019,Statewide,Percentage of Waste Stream Recycled,51.51
