,Fiscal Year,Region,Type,Amount
0,2020-2021,Statewide,"Batteries Recycled, Tons",2.58
38,2018-2019,Statewide,"Batteries Recycled, Tons",28.44
57,2017-2018,Statewide,"Batteries Recycled, Tons",0.03
78,2016-2017,Statewide,"Batteries Recycled, Tons",7.38
98,2015-2016,Statewide,"Batteries Recycled, Tons",1.99
120,2014-2015,Statewide,"Batteries Recycled, Tons",2.0
141,2013-2014,Statewide,"Batteries Recycled, Tons",4.0
165,2012-2013,Statewide,"Batteries Recycled, Tons",1.0
189,2011-2012,Statewide,"Batteries Recycled, Tons",8.0
211,2010-2011,Statewide,"Batteries Recycled, Tons",4.0
233,2009-2010,Statewide,"Batteries Recycled, Tons",3.0
255,2008-2009,Statewide,"Batteries Recycled, Tons",2.0
