,Fiscal Year,Region,Type,Amount
16,2020-2021,Statewide,Total Tonnage of Recycled Material,813.1
17,2020-2021,Statewide,Total Tonnage of Waste Material,917.51
35,2019-2020,Statewide,Total Tonnage of Recycled Material,1180.48
36,2019-2020,Statewide,Total Tonnage of Waste Material,1973.36
55,2018-2019,Statewide,Total Tonnage of Recycled Material,1646.65
56,2018-2019,Statewide,Total Tonnage of Waste Material,1549.8
75,2017-2018,Statewide,Total Tonnage of Recycled Material,1428.16
76,2017-2018,Statewide,Total Tonnage of Waste Material,1666.88
95,2016-2017,Statewide,Total Tonnage of Recycled Material,2335.55
96,2016-2017,Statewide,Total Tonnage of Waste Material,1704.11
116,2015-2016,Statewide,Total Tonnage of Recycled Material,2939.96
117,2015-2016,Statewide,Total Tonnage of Waste Material,2173.43
137,2014-2015,Statewide,Total Tonnage of Recycled Material,3302.0
138,2014-2015,Statewide,Total Tonnage of Waste Material,2390.0
160,2013-2014,Statewide,Total Tonnage of Recycled Material,3005.0
161,2013-2014,Statewide,Total Tonnage of Waste Material,2744.0
184,2012-2013,Statewide,Total Tonnage of Recycled Material,3783.0
185,2012-2013,Statewide,Total Tonnage of Waste Material,2290.0
207,2011-2012,Statewide,Total Tonnage of Waste Material,2410.0
208,2011-2012,Statewide,Total Tonnage of Recycled Material,3389.0
229,2010-2011,Statewide,Total Tonnage of Recycled Material,2445.0
230,2010-2011,Statewide,Total Tonnage of Waste Material,2754.0
250,2009-2010,Statewide,Total Tonnage of Recycled Material,3295.0
251,2009-2010,Statewide,Total Tonnage of Waste Material,3069.0
273,2008-2009,Statewide,Total Tonnage of Recycled Material,4679.0
274,2008-2009,Statewide,Total Tonnage of Waste Material,3516.0
